uid,Name,Score,Calories,Total Fat,Total Carbohydrate,Protein,Saturated Fat,Trans Fat,Cholesterol,Sodium,Dietary Fiber,Sugars,Total Sugar,Added Sugar,Category
10000001,"Tattooed Chef Organic Greens 5 a Blend of Seasoned Zucchini, Broccoli, Haricots Verts, Peas, & Leeks, Organic Greens 5",1.2,45,2,6,2,0,0,0,0.17,2,0,2,0,vegetable
10000008,"Gutzy Organic Fruit & Veg Snack, Apple, Spinach, Kiwi & Kale",1.2,80,0,19,1,0,0,0,0.02,8,10,10,0,smoothie
10000023,"O+B4:B24nce Upon a Farm Tropical Cold Pressed Organic Dairy Free Smoothie, Tropical",1.1,100,4,16,3,1,0,0,0,0,0,10,0,smoothie
10000196,"World Class Bakery Chocolate Chocolate Chip Muffin, Chocolate Chocolate Chip",8,210,13,0,3,3,0,0.04,0,1,14,14,0,bread
10000195,"World Class Bakery Chocolate Oatmeal Macadamia, Chocolate Oatmeal",8,200,9,0,2,4,0,0.016,0,1,16,10,10,dessert
10000202,"World Class Bakery Apple Coffee Cake Strip, Apple Coffee Cake",8,130,7,0,2,1,1.5,0.01,0.22,1,8,8,8,dessert
10000206,"Wondershop Pretzel Rods Toffee Crunch Dipped in Chocolate, Pretzel Rods",8,110,4,16,2,2,0,0.005,0.135,1,0,7.7,7.7,snack
10000246,O Organics Organic 100% Pure Maple Syrup,3.5,110,0,26,0,0,0,0,0,0,0,26,26,syrup
10000247,"O Organics Organic Almondmilk, Plain Unsweetened",3.5,45,3,2,1,0,0,0,0.16,0,0,0,0,milk
10000259,O Organics Grass Fed Vitamin D Organic Milk,3.5,160,9,11,8,6,0,0.035,0.12,0,0,11,0,milk
10000267,"O Organics Chocolate Organic Low Fat 1% Milkfat, Chocolate",3.5,130,2,20,8,1,0,0.01,0.17,1,0,20,20,snack
10000462,Wellsley Farms Steam in Bag Super Sweet Corn,1.3,70,0,16,2,0,0,0,0,2,0,3,0,snack
10000561,Lucerne Farms Cage Free 100% Liquid Egg Whites,1.5,25,0,0,5,0,0,0,0.075,0,0,0,0,ingredient
10000572,"Inner Eco Pureed Coconut, Creamy & Mild Smoothie Pack, Pureed Coconut, Creamy & Mild",1.5,30,2,3,0,1,0,0,0,2,0,0,0,beverage
10000574,Food Lion Pitted Dark Sweet Cherries,1.5,90,0,22,2,0,0,0,0,3,0,18,0,fruit
10000612,Silver Hills Sprouted Power Organic Bagels,1.5,210,3,39,8,0,0,0,0,4,0,5,5,bread
10000617,"Painterland Sisters Vanilla Bean Icelandic Style Skyr Organic Yogurt, Vanilla Bean",1.5,160,8,0,16,0,0,0,0.05,0,0,9,9,yogurt
10000632,"Grandyoats Honey Nut Granola, Honey Nut",1.5,130,6,16,4,0,0,2,0.03,2,0,3.6,3.6,snack
10000639,"Cascadian Farm Organic Organic Hearty Blend Brown Rice, Corn, Black Beans and Red Bell Pepper, Organic Hearty Blend",1.5,120,0,24,5,0,0,0,0.085,5,0,1.9,1.9,meals
10000682,"else plant-powered almonds & buckwheat super cereal, original",1.4,60,2,10,2,0,0,0,0,1,0,0.5,0,cereals
10000684,"Amafruits Traditional Pure Acai Sorbet, Traditional Pure Acai",1.4,160,4,0,1,0,0,0,0.005,4,0,30,15,fruit
10000889,"Materne Gogo Squeez Apple Sauce, Apple Peach",1.5,70,0,15,0,0,0,0,0,3,12,12,0,fruit
10164892,Axelrod Lowfat Cottage Cheese,2.2,90,1,0,14,0,0,0.015,0.06,0,0,5,5,cheese
10165009,"Choc Zero Chocolate Flavored Syrup, Chocolate",2.2,37,0,15,0,0,0,0,0.005,14,0,0,0,syrup
10165013,"Chobani Whole Milk Greek Yogurt, Original Plain",2.2,170,9,7,15,5,0,0.035,0.06,1,0,6,6,yogurt
10155200,"A Shoprite Bowl & Basket. Plain Sweetened Lowfat Yogurt, Plain Sweetened",3.5,110,1,0,6,0,0,0,0.095,0,0,12,0,yogurt
10155216,Aneto 100% Natural Cooking Base for Seafood Paella,3.5,98,8,3,3,1,1,0.007,1.056,2,0,1,0,ingredient
10155484,Country Fresh Cottage Cheese,3.5,90,1,0,12,0,0,0,0.47000000000000000,0,0,3.3,0,cheese
10157547,"Bilinski's Apple Breakfast Organic Fully Cooked Chicken Sausage, Apple Breakfast",3.5,70,2,4,9,0,0,0.035,0.24,0,0,4,4,sausage
10157550,"Bilinski's Organic Chicken Sausage, Spinach & Feta, Spinach & Feta",3.5,70,2,1,12,0,0,0.05,0.5,0,0,0,0,sausage
10157646,365 Everyday Value Organic Crunch Peanut Butter,3.5,190,16,0,7,0,0,0,0.085,2,0,2,0,butter
10157789,"Aidells Organic Smoked Chicken Sausage, Sweet Basil & Roasted Garlic",3.5,140,9,0,13,3,0,0.08,0.48,1,1,0,0,sausage
10136627,"Tree Ripe Grove Select No Pulp 100% Orange Juice, 128 Fl Oz",4,110,0,26,2,0,0,0,0.01,0,22,26,26,beverage
10136653,"Tuscanini Italian Spelt Rosemary Crostini Crackers, Rosemary",4,130,3,23,3,0,0,0,0.22,2,1,1,0,snack
10136708,"Triscuit Triscuit Nabisco, Triscuit, Crackers, Original, Original",4,120,3,20,3,0,0,0,0.16,3,0,0,0,snack
10136912,"Wegmans No Pulp 100% Premium Orange Juice, Orange",4,110,0,26,2,0,0,0,0,0,0,22,0,beverage
10137068,"Weis Quality Peach Pie Filling & Topping, Peach",4,90,0,22,0,0,0,0,0.01,1,18,14,14,fruit
10138692,Sintons 4% Small Curd Cottage Cheese,4,120,5,0,12,0,0,0.025,0.42,0,0,4,0,cheese
10127030,"Ore Ida Sharp White Cheddar Cheese, Mild Cheddar Cheese, Potatoes, Broccoli, Mushrooms, Onions & Red Peppers Veggie Scramble Kit, Sharp White Cheddar Cheese, Mild Cheddar Cheese, Potatoes, Broccoli, Mushrooms, Onions & Red Peppers",4.5,190,15,0,10,9,0.5,0.04,0.27,1,0,0.5,0,snack
10127207,Penn Maid 4% Cottage Cheese With Pineapple,4.5,130,3,0,10,2,0,0.02,0.31,0,0,13,13,cheese
10127288,"Pf Snacks Apple Rings, 6 Oz",4.5,100,0,26,0,0,0,0,0.035,3,23,23,23,snack
10127292,"Petitpot Dark Chocolate Creamy French Dessert, Dark Chocolate",4.5,190,13,0,4,0,0,0,0.08,0,0,14,14,snack
10127293,Pf Snacks Black Raisins,4.5,120,0,32,1,0,0,0,0,1,24,24,0,snack
10127350,"Perdue Chicken Breast Nuggets, Original",4.5,210,12,13,12,2,0,0.04,0,0,0,0,0,meats
10127400,"Polly O Mozzarella Part Skim Cheese, Mozzarella",4.5,70,5,0,6,0,0,0,0.2,0,0,0.5,0.5,cheese
10127457,"Prairie Farms Chocolate Whole Milk, Chocolate",4.5,210,7,29,8,4,0,0.02,0.15,0,0,28,28,milk
